VM Name,Backup Status
GHOFileserver,Success
GSCCAServer,Success
PorSSCEPPERSIS,Success
PorSSCEPUNIFIC,Success
AD_DCSdbGrp2_New,Success
HRFS,Success
AD_Quest,Success
PorSSCEPTREX,Success
Portal SSCEPAPP,Success
Portal SSCEPDB,Success
PorEPQASNw,Success
PorSSCEPPDV,Success
UBNT GHO,Success
MYHQKUL991177S,Success
ManageEngineSD-Plus,Success
GRPFIN FILE SERVER,Success
ERMDB,Success
ERMWeb,Success
MYHQKUL991401S,Success
GSCRAPID4WEB,Success
eprocument-new,Success
EnterprisePortalQAS,Success
PorSSCEPWEB,Success
GHO WebServer,Success
SAPRouterBox2,Success
GSCRAPID4APP,Success
GSCRAPID4DB,Success
GSCRAPID4DEV,Success
GSCDSSSCCMPSS,Success
GSCDSSSCCMDBS,Success
Delinea (Thycotic) PAM Solution,Success
MYHQKUL990036S,Success
Tenable Scanner,Success
MYMTKUL990581S,Success
MYMTKUL990582S,Success
MYHQKUL990040S-ERMWEB,Success
WEB HOSTING SERVER,Success
SDGHO_Syslog_Logger,Success
AZURESDB01,Success
ADSBCONNECT,Success
AD_MYHQKUL990032S,Success
AD_MYHQKUL990044S,Success
OpentextDoc PRD,Success
OpentextDoc DB PRD,Success
OpentextData PRD,Success
GHO DMS PRD,Success
OpentextDoc QAS,Success
OpentextDoc DB QAS,Success
OpentextData QAS,Success
GHO DMS QAS,Success
GHO Intune,Success
WEB HOSTING SERVER DB,Success
AD_NPS Service,Success
GHOFA-FileServer,Success
MYHQKUL990039S-ERMDB,Success
GHOCertServer,Success
GHORootCA,Success
Delinea (Thycotic) PAM Solution DR,Success
MYHQKUL990037S,Success
MYHQKUL990041S MANAGE ENGINE,Success
AD_MYHQKUL990045S,Success
SDRAC-DB-UAT,Success
SAPJumpServer (POC),Success
Qualitas Portal,Success
AD_MYHQKUL991190S,Success
AD_MYHQKUL991191S,Success
Automation,Success
MYHQKUL991402S,Success
AD_MYHQKUL990006S,Success
IT-Dashboard,Success
OpentextDoc QAS - Clone,Success
OpentextDoc DB QAS - Clone,Success
OpentextData QAS - Clone,Success
AD_MYHQKUL990029S,Success
AD_MYHQKUL990030S,Success
AD_MYHQKUL990007S,Success
AD_MYHQKUL990009S,Success
