VM Name,Backup Status
IIS,Success
SDI-Syslog-Logger,Success
SQL,Success
SQL,Success
IIS,Success
Ent Collab - AD Australia,Success
Ent Collab - AD Australia,Success
Ent Collab - AD Australia,Success
AD Chubblocal,Success
File Server,Success
File Server,Success
SQL Server 2019,Success
AD and Patriod Old,Success
PatriotMainSvr [New],Success
PATRIOT - PBACK2,Success
PatriotMainSvr [New],Success
AD and Patriod Old,Success
PATRIOT - PBACK2,Success
Warehouse Mgmt System (WMS),Success
SQL 2022 std,Success
SQL 2022 std,Success
IIS,Success
Data Gateway,Success
SQL 2022 std,Success
SQL 2022 std,Success
Hyper-V Host,Success
